                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4882,                 2.7626,                  1.381,                 1.3762,                0.09839,                0.27273,                 0.0485,                0.01624,                0.06973,                0.21818,                0.02523,                0.00858,                 2.9097,                 18.227,                 7.4831,                 2.7658,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4567,                 2.5465,                 1.3277,                 1.2894,                0.18739,                0.27273,                0.12649,                0.03328,                 0.1597,                0.23636,                0.08919,                0.02468,                 2.6854,                 9.7917,                 3.7667,                 2.5058,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3627,                 2.5005,                 1.3234,                 1.3367,                0.19592,                0.32727,                0.13237,                0.03618,                0.23428,                    0.2,                0.10524,                0.03328,                 2.6383,                 8.0188,                 2.8817,                 2.5543,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4049,                 2.5351,                 1.2081,                 1.3026,                0.18924,                 0.1486,                0.08206,                0.03432,                0.18924,                 0.1486,                0.09098,                 0.0329,                 2.6672,                 7.6767,                 3.7538,                 2.4228,               0.001505,               0.001505,               0.001505
                     28,                 1.5557,                  2.748,                 1.3358,                 1.4308,                0.18577,                0.25722,                0.14268,                0.05276,                0.24669,                0.12727,                0.08809,                0.02769,                 2.5143,                 7.3564,                 4.2082,                 2.1778,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3933,                 2.6255,                 1.1993,                 1.3126,                0.06005,                0.21818,                0.04456,                0.01598,                0.05185,                0.27273,                0.03718,                0.01084,                 2.5009,                 6.5195,                 7.4417,                 2.2336,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3504,                  2.628,                 1.2185,                 1.2538,                 0.1554,                0.36802,                0.10884,                0.03697,                0.12407,                0.29091,                0.07545,                0.02316,                 2.4314,                  6.446,                 3.9296,                 2.1708,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4793,                 2.7265,                 1.3103,                 1.3384,                0.33579,                0.25455,                 0.1724,                0.07089,                0.37614,                0.27273,                0.17665,                0.04501,                 2.4529,                  6.553,                 2.8982,                  2.218,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3385,                 2.4966,                 1.2014,                 1.3224,                0.34898,                0.38993,                0.25271,                0.11513,                0.34898,                0.38993,                0.21082,                0.08127,                 2.2166,                 4.9745,                 2.5791,                  2.011,               0.001406,               0.001406,               0.001406
                     33,                 1.3927,                 2.5253,                 1.2788,                  1.317,                0.35833,                0.31484,                 0.2336,                0.10625,                0.35833,                0.31484,                0.21874,                0.08042,                 2.1179,                 4.7752,                  2.668,                 1.9221,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3012,                 2.2203,                 1.2324,                  1.261,                 0.3396,                    0.4,                0.26579,                0.11679,                0.31727,                0.36364,                0.23573,                0.08388,                 2.0458,                 4.0269,                 2.4505,                 1.8177,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2356,                 2.4007,                 1.2048,                 1.2636,                0.22697,                0.47273,                0.23264,                0.10326,                0.20752,                0.41818,                 0.1918,                0.06927,                 1.9838,                 4.0051,                 2.5105,                 1.7688,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.229,                 2.4597,                 1.1481,                 1.2191,                0.35736,                0.43636,                0.26621,                0.12081,                0.30296,                0.32727,                0.23902,                0.08157,                 2.0574,                  4.189,                 2.2486,                 1.7928,              0.0013268,              0.0013268,              0.0013268
